State,District,year,Type,Crop,Average Max Temperature,Average Min Temp,Ground water ,precipitation,cloud cover
Bihar,KAIMUR (BHABUA),2000,Whole Year,Sugarcane,31.98658,19.16642,5.146785714,53.85417,34.774
Bihar,KAIMUR (BHABUA),2001,Whole Year,Sugarcane,31.96775,19.17042,4.477916667,58.74617,38.37
Bihar,KAIMUR (BHABUA),2002,Whole Year,Sugarcane,32.42575,19.368,4.765652174,64.80708,36.74141667
Bihar,KATIHAR,1999,Whole Year,Sugarcane,31.641,19.60375,4.06,98.7355,47.32116667
Bihar,KATIHAR,2000,Whole Year,Sugarcane,30.82075,19.13842,3.080588235,81.80567,44.4075
Bihar,KATIHAR,2001,Whole Year,Sugarcane,31.41083,19.62792,3.1286,85.30033,45.25716667
Bihar,KATIHAR,2002,Whole Year,Sugarcane,31.50008,19.22017,3.473090909,86.0515,44.86641667
Bihar,KHAGARIA,1999,Whole Year,Sugarcane,31.69017,20.18342,4.702857143,79.49025,44.80716667
Bihar,KHAGARIA,2000,Whole Year,Sugarcane,31.25583,20.00542,4.254285714,65.73017,40.04691667
Bihar,KHAGARIA,2001,Whole Year,Sugarcane,31.6075,20.297,4.454814815,67.14683,41.6605
Bihar,KHAGARIA,2002,Whole Year,Sugarcane,31.69658,19.94167,4.91,76.09108,40.66833333
Bihar,KISHANGANJ,1999,Whole Year,Sugarcane,31.27575,19.65233,3.833809524,127.2596,49.18158333
Bihar,KISHANGANJ,2000,Whole Year,Sugarcane,30.42467,19.205,2.997894737,107.5664,46.39616667
Bihar,KISHANGANJ,2001,Whole Year,Sugarcane,30.99417,19.67417,2.029285714,108.9615,47.04658333
Bihar,MADHEPURA,1999,Whole Year,Sugarcane,30.96792,20.04925,2.461875,84.09258,46.09008333
Bihar,MADHEPURA,2000,Whole Year,Sugarcane,31.65192,19.77,2.418,69.705,41.703
Bihar,MADHEPURA,2001,Whole Year,Sugarcane,31.07525,20.15567,2.761111111,71.279,43.08908333
Bihar,MADHEPURA,2002,Whole Year,Sugarcane,31.53133,19.73867,2.545,81.11575,42.28691667
Bihar,MADHUBANI,1999,Whole Year,Sugarcane,31.78892,20.37817,2.587735849,85.66317,45.99375
Bihar,MADHUBANI,2000,Whole Year,Sugarcane,31.3385,20.17458,2.106792453,68.25225,40.18858333
Bihar,MADHUBANI,2001,Whole Year,Sugarcane,31.73275,20.50967,2.150243902,73.57008,41.85741667
Bihar,MADHUBANI,2002,Whole Year,Sugarcane,31.647,20.0625,3.122708333,85.59567,40.80983333
Bihar,MUZAFFARPUR,1999,Whole Year,Sugarcane,32.25792,20.54258,2.636,75.97075,43.49458333
Bihar,MUZAFFARPUR,2000,Whole Year,Sugarcane,31.94925,20.39617,2.441428571,58.17417,36.69466667
Bihar,MUZAFFARPUR,2001,Whole Year,Sugarcane,32.209,20.62567,2.666133333,65.69675,38.8965
Bihar,MUZAFFARPUR,2002,Whole Year,Sugarcane,32.2305,20.31867,3.111827957,76.43,37.53891667
Bihar,NALANDA,1999,Whole Year,Sugarcane,32.41142,20.46917,2.377179487,71.73267,42.3825
Bihar,NALANDA,2000,Whole Year,Sugarcane,32.08775,20.33008,2.555357143,57.97117,36.19458333
Bihar,NALANDA,2001,Whole Year,Sugarcane,32.32242,20.48067,3.117222222,59.72375,38.575
Bihar,NALANDA,2002,Whole Year,Sugarcane,32.57775,20.37642,2.56125,71.5095,36.82833333
Bihar,NAWADA,1999,Whole Year,Sugarcane,31.25725,19.56508,2.949285714,76.55892,42.75466667
Bihar,NAWADA,2000,Whole Year,Sugarcane,30.95725,19.4295,3.163488372,60.90783,37.0085
Bihar,NAWADA,2001,Whole Year,Sugarcane,31.12758,19.52992,3.4825,63.24967,39.35266667
Bihar,NAWADA,2002,Whole Year,Sugarcane,31.47667,19.47408,3.436304348,71.274,37.42783333
Bihar,PASHCHIM CHAMPARAN,1999,Whole Year,Sugarcane,32.66317,19.56508,3.171111111,86.3135,46.60358333
Bihar,PASHCHIM CHAMPARAN,2000,Whole Year,Sugarcane,32.26642,19.4295,2.791132075,72.06217,39.75975
Bihar,PASHCHIM CHAMPARAN,2001,Whole Year,Sugarcane,32.51467,19.52992,2.397826087,83.40108,41.8755
Bihar,PASHCHIM CHAMPARAN,2002,Whole Year,Sugarcane,32.39625,19.47408,2.106086957,87.03675,41.19816667
Bihar,PATNA,1999,Whole Year,Sugarcane,32.51775,20.44633,3.652291667,70.53492,42.41425
Bihar,PATNA,2000,Whole Year,Sugarcane,32.25225,20.32483,4.0975,55.56583,35.94758333
Bihar,PATNA,2001,Whole Year,Sugarcane,32.4475,20.46517,4.311857143,59.35325,38.43466667
Bihar,PATNA,2002,Whole Year,Sugarcane,32.68267,20.34933,4.084262295,70.222,36.793
Bihar,PURBI CHAMPARAN,1999,Whole Year,Sugarcane,32.46175,20.33917,2.641,80.0875,45.65233333
Bihar,PURBI CHAMPARAN,2000,Whole Year,Sugarcane,32.14817,20.15317,2.9290625,61.99,38.27841667
Bihar,PURBI CHAMPARAN,2001,Whole Year,Sugarcane,32.40567,20.38875,2.43,70.79992,40.62866667
Bihar,PURBI CHAMPARAN,2002,Whole Year,Sugarcane,32.33267,20.02983,2.306666667,79.16583,39.53325
Bihar,PURNIA,1999,Whole Year,Sugarcane,31.673,19.72058,2.92,95.27617,47.31925
Bihar,PURNIA,2000,Whole Year,Sugarcane,30.89208,19.296,2.977857143,79.599,44.03691667
Bihar,PURNIA,2001,Whole Year,Sugarcane,31.46758,19.75575,2.263157895,81.90917,44.99291667
Bihar,PURNIA,2002,Whole Year,Sugarcane,31.53683,19.36267,3.102857143,86.1315,44.5065
Bihar,ROHTAS,1999,Whole Year,Sugarcane,32.27233,19.47742,3.796,67.62483,42.112
Bihar,ROHTAS,2000,Whole Year,Sugarcane,32.13475,19.328,4.5925,52.07242,35.17275
Bihar,ROHTAS,2001,Whole Year,Sugarcane,32.15208,19.36067,4.224782609,57.85008,38.53341667
Bihar,ROHTAS,2002,Whole Year,Sugarcane,32.58883,19.50867,4.53893617,65.21342,36.759
Bihar,SAHARSA,1999,Whole Year,Sugarcane,31.74117,20.25025,2.318,80.29133,45.17425
Bihar,SAHARSA,2000,Whole Year,Sugarcane,31.24458,20.03283,2.2925,66.43942,40.3725
Bihar,SAHARSA,2001,Whole Year,Sugarcane,31.65433,20.37783,2.267037037,67.77883,41.94033333
Bihar,SAHARSA,2002,Whole Year,Sugarcane,31.69867,19.9755,2.399428571,79.03958,41.00066667
Bihar,SAMASTIPUR,1999,Whole Year,Sugarcane,32.15917,20.8625,3.639677419,75.42633,42.54133333
Bihar,SAMASTIPUR,2000,Whole Year,Sugarcane,31.83167,20.73467,3.741724138,60.94433,36.56458333
Bihar,SAMASTIPUR,2001,Whole Year,Sugarcane,32.13067,20.973,3.112727273,63.8095,38.59516667
Bihar,SAMASTIPUR,2002,Whole Year,Sugarcane,32.20808,20.66792,3.509428571,77.19692,37.14733333
Bihar,SARAN,1999,Whole Year,Sugarcane,32.70142,20.4735,4.468510638,68.552,43.10108333
Bihar,SARAN,2000,Whole Year,Sugarcane,32.48833,20.34283,4.158245614,52.04183,35.97366667
Bihar,SARAN,2001,Whole Year,Sugarcane,32.68158,20.51892,3.832941176,59.12125,38.66033333
Bihar,SARAN,2002,Whole Year,Sugarcane,32.80042,20.31992,4.026896552,68.23908,37.22391667
Bihar,SHEIKHPURA,1999,Whole Year,Sugarcane,32.10958,20.46583,2.53,73.75025,42.71141667
Bihar,SHEIKHPURA,2000,Whole Year,Sugarcane,31.76083,20.357,4.98,60.44017,36.78133333
Bihar,SHEIKHPURA,2001,Whole Year,Sugarcane,32.02458,20.521,4.54,61.46425,38.95958333
Bihar,SHEIKHPURA,2002,Whole Year,Sugarcane,32.26183,20.3575,4.946666667,73.06383,37.26133333
Bihar,SHEOHAR,1999,Whole Year,Sugarcane,32.28942,20.43617,2.64,80.11017,44.79625
Bihar,SHEOHAR,2000,Whole Year,Sugarcane,31.96967,20.27708,2.396666667,61.02133,37.66116667
Bihar,SHEOHAR,2001,Whole Year,Sugarcane,32.23525,20.51742,3.08,69.02517,39.81191667
Bihar,SHEOHAR,2002,Whole Year,Sugarcane,32.19758,20.16742,2.526666667,79.66642,38.61891667
Bihar,SITAMARHI,1999,Whole Year,Sugarcane,32.04008,20.37867,2.95047619,86.36525,45.94875
Bihar,SITAMARHI,2000,Whole Year,Sugarcane,31.68242,20.21233,2.540909091,67.117,39.07766667
Bihar,SITAMARHI,2001,Whole Year,Sugarcane,32.01608,20.48208,2.293461538,74.42617,40.96766667
Bihar,SITAMARHI,2002,Whole Year,Sugarcane,31.888,20.05342,2.971875,85.335,39.84916667
Bihar,SIWAN,1999,Whole Year,Sugarcane,32.87058,20.36967,3.113947368,66.08275,43.98266667
Bihar,SIWAN,2000,Whole Year,Sugarcane,32.6435,20.21483,2.863148148,51.57308,36.48733333
Bihar,SIWAN,2001,Whole Year,Sugarcane,32.81167,20.39267,4.412641509,59.77158,39.37991667
Bihar,SIWAN,2002,Whole Year,Sugarcane,32.87167,20.18408,2.506326531,66.85067,38.192
Bihar,SUPAUL,1999,Whole Year,Sugarcane,31.6215,19.19902,2.248205128,90.70825,47.14175
Bihar,VAISHALI,1999,Whole Year,Sugarcane,32.47708,20.73717,3.83,72.56375,42.07383333
Bihar,VAISHALI,2000,Whole Year,Sugarcane,32.23867,20.61342,3.331282051,56.72058,35.50866667
Bihar,VAISHALI,2001,Whole Year,Sugarcane,32.4385,20.81033,3.742777778,61.89525,37.83408333
Bihar,VAISHALI,2002,Whole Year,Sugarcane,32.5785,20.58058,4.352903226,73.06925,36.27633333
Chhattisgarh,BASTAR,2000,Whole Year,Sugarcane,32.57717,20.9565,5.007580645,101.4949,37.34558333
Chhattisgarh,BASTAR,2001,Whole Year,Sugarcane,32.56233,21.04575,5.070677966,110.3637,41.16683333
Chhattisgarh,BASTAR,2002,Whole Year,Sugarcane,32.91033,21.17842,5.765217391,84.14867,38.43958333
Chhattisgarh,BILASPUR,2000,Whole Year,Sugarcane,31.68183,18.367,5.769897959,50.67767,33.0355
Chhattisgarh,BILASPUR,2001,Whole Year,Sugarcane,31.71842,18.49467,5.321666667,46.98575,31.75033333
Chhattisgarh,BILASPUR,2002,Whole Year,Sugarcane,31.88042,18.433,6.6551,51.67792,34.04558333
Chhattisgarh,DHAMTARI,2000,Whole Year,Sugarcane,31.80533,19.87933,3.928363636,88.19808,37.75558333
Chhattisgarh,DHAMTARI,2002,Whole Year,Sugarcane,31.81625,20.16325,4.570555556,87.83333,38.27491667
Chhattisgarh,DURG,2000,Whole Year,Sugarcane,32.27633,20.46875,4.635434783,80.87308,36.86116667
Chhattisgarh,DURG,2001,Whole Year,Sugarcane,31.71842,20.64275,5.001325301,99.99175,40.64258333
Chhattisgarh,DURG,2002,Whole Year,Sugarcane,31.88042,20.90842,4.904588235,86.30575,37.88508333
Chhattisgarh,JANJGIR-CHAMPA,2000,Whole Year,Sugarcane,32.595,21.02692,4.012363636,83.34925,36.86908333
Chhattisgarh,JANJGIR-CHAMPA,2001,Whole Year,Sugarcane,32.6005,21.06858,4.400231214,95.38092,41.05891667
Chhattisgarh,JANJGIR-CHAMPA,2002,Whole Year,Sugarcane,33.14383,21.27017,4.453796791,86.81867,37.887
Chhattisgarh,JASHPUR,2000,Whole Year,Sugarcane,31.54717,19.7685,4.7675,83.233,36.79816667
Chhattisgarh,JASHPUR,2001,Whole Year,Sugarcane,31.53767,19.79217,4.452658228,92.87267,41.07966667
Chhattisgarh,JASHPUR,2002,Whole Year,Sugarcane,32.08125,19.94042,4.751590909,89.62175,37.81083333
Chhattisgarh,KORBA,2001,Whole Year,Sugarcane,32.36067,20.61142,4.844358974,90.02525,40.37025
Chhattisgarh,KORBA,2002,Whole Year,Sugarcane,32.447,20.76058,5.525511811,86.785,37.89383333
Chhattisgarh,KOREA,2000,Whole Year,Sugarcane,30.66217,21.03942,5.242413793,66.56108,36.06741667
Chhattisgarh,KOREA,2001,Whole Year,Sugarcane,31.21908,20.3452,4.843787879,74.54533,40.37025
Chhattisgarh,MAHASAMUND,2000,Whole Year,Sugarcane,32.25283,20.67875,5.7712,86.982,37.72383333
Chhattisgarh,MAHASAMUND,2001,Whole Year,Sugarcane,32.22392,20.68292,5.239452055,98.98758,41.49075
Chhattisgarh,MAHASAMUND,2002,Whole Year,Sugarcane,32.72125,20.86558,6.387567568,86.03833,37.8635
Chhattisgarh,RAIGARH,2000,Whole Year,Sugarcane,32.42875,20.87242,5.821923077,86.20925,36.95558333
Chhattisgarh,RAIGARH,2001,Whole Year,Sugarcane,32.39325,20.85708,5.347333333,96.94025,41.3625
Chhattisgarh,RAIGARH,2002,Whole Year,Sugarcane,32.94775,21.04667,5.758674699,87.99167,37.88275
Chhattisgarh,RAIPUR,2000,Whole Year,Sugarcane,32.31558,20.56792,4.683660131,86.634,37.44416667
Chhattisgarh,RAIPUR,2001,Whole Year,Sugarcane,32.3305,20.64008,4.858852459,101.4233,41.23025
Chhattisgarh,RAIPUR,2002,Whole Year,Sugarcane,32.83008,20.83883,4.885675676,87.63208,38.00941667
Chhattisgarh,RAJNANDGAON,2000,Whole Year,Sugarcane,33.15642,20.77708,4.834157303,84.97958,36.78175
Chhattisgarh,RAJNANDGAON,2001,Whole Year,Sugarcane,33.31033,21.02275,4.912409639,106.2091,40.51533333
Chhattisgarh,RAJNANDGAON,2002,Whole Year,Sugarcane,33.76033,21.29067,5.40423913,90.18042,38.05
Chhattisgarh,SURGUJA,2000,Whole Year,Sugarcane,30.93892,19.07908,5.266,72.171,35.84266667
Chhattisgarh,SURGUJA,2001,Whole Year,Sugarcane,30.9845,19.1715,4.810847458,80.486,40.33791667
